Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Onyeka Okongwu,ATL,F,17.694886956521742,10.541142857142855,2.564571428571429,8.710710260869568,5.1891171428571425,1.2624685714285717,0.0,0.0,0.0,0.656,0.6128048780487805,0.1353968253968253,6.945857142857142,,,,,,,,,,,,
Myles Turner,IND,C-F,17.39645217391305,6.5434285714285725,1.4614285714285715,19.16414895652174,6.604401428571428,1.3347214285714288,0.0,0.0,0.0,0.63,0.5933734939759037,0.1225396825396825,6.286285714285714,19.0,5.0,2.0,,15.0,2.0,1.0,,21.0,9.0,0.0,
Christian Braun,DEN,G,20.02387527950311,5.581714285714288,3.450857142857143,13.486357694409937,6.265675714285715,2.621412857142857,0.0,0.0,0.0,0.699,0.678343949044586,0.1504761904761905,7.719428571428572,11.0,3.0,1.0,,5.0,6.0,2.0,,11.0,12.0,3.0,
Brandin Podziemski,GSW,G,16.337500621118014,5.449714285714285,3.403714285714287,14.679605987577641,4.3539457142857145,3.688805714285715,0.0,0.0,0.0,0.62,0.606951871657754,0.1210714285714285,6.210964285714286,14.0,8.0,5.0,,0.0,0.0,0.0,,8.0,2.0,4.0,
Bradley Beal,PHO,G,16.56180223602485,2.951142857142857,4.0920000000000005,8.152923555279504,1.4527671428571431,2.01438,0.0,0.0,0.0,0.591,0.5687830687830688,0.1301190476190476,6.675107142857142,,,,,,,,,,,,
Derrick White,BOS,G,16.586168944099377,5.006571428571428,6.043714285714285,14.71441862111801,5.085198571428572,5.6804557142857135,0.0,0.0,0.0,0.583,0.5602094240837696,0.1428174603174603,7.326535714285714,30.0,4.0,2.0,,17.0,6.0,5.0,,5.0,4.0,5.0,
Domantas Sabonis,SAC,C-F,16.85720347826087,12.66257142857143,5.42142857142857,8.298341530434783,6.233438571428571,2.668821428571428,0.0,0.0,0.0,0.597,0.5549132947976878,0.1347619047619047,6.913285714285712,,,,,,,,,,,,
Spencer Dinwiddie,DAL,G,14.27282385093168,3.4320000000000004,6.119142857142859,7.026121922981368,1.6894800000000003,3.0122871428571436,0.0,0.0,0.0,0.597,0.5529411764705883,0.1313492063492063,6.738214285714286,,,,,,,,,,,,
Bennedict Mathurin,IND,G-F,15.041113043478267,4.469142857142858,1.7254285714285718,10.17877973913044,3.0232871428571424,1.2120314285714289,0.0,0.0,0.0,0.56,0.4575757575757576,0.1087301587301587,5.577857142857142,13.0,5.0,1.0,,14.0,1.0,1.0,,5.0,2.0,1.0,
Alex Sarr,WAS,F,12.286330434782617,5.968285714285715,2.508,6.048225391304349,2.938024285714286,1.23462,0.0,0.0,0.0,0.48,0.4484304932735426,0.115079365079365,5.90357142857143,,,,,,,,,,,,
Ty Jerome,CLE,G,16.75734260869565,2.536285714285715,3.498,12.783382747826085,2.1417942857142864,2.62992,0.0,0.0,0.0,0.632,0.5895061728395061,0.0937301587301587,4.808357142857142,28.0,5.0,3.0,,6.0,3.0,0.0,,,,,
